;von;bis;;
Datum:;16.07.2020;16.07.2020;;
Enthalt Z;67;67;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2422.40;98.28 %;
Auslagen;;;39.00;1.58 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.40;0.14 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;39.00;1.58 %;
5.0%;;;2008.30;81.59 %;
16.0%;;;414.10;16.82 %;
Total;;;2461.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;39.00;1.69 %;
5.0%;;;1912.82;82.84 %;
16.0%;;;357.15;15.47 %;
Total;;;2308.97;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;95.48;62.64 %;
16.0%;;;56.95;37.36 %;
Total;;;152.43;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;301;1861.70;75.64 %;0.00
Maestro;;39;435.10;17.68 %;3.40
MasterCard;;2;13.50;0.55 %;0.00
Mehrzweckgutschein;;1;3.00;0.12 %;0.00
Visa;;5;39.10;1.59 %;0.00
Visa Electron;;11;109.00;4.43 %;0.00
Total;;359;2461.40;100.00 %;3.40
;;;;
Umsatzdetails;;;;;
Aiyana;;;539.20;22.26 %;0.00
Anna;;;273.00;11.27 %;1.00
Emanuel;;;124.40;5.14 %;0.00
Lena;;;917.30;37.87 %;0.90
Martin;;;49.50;2.04 %;0.00
Mik;;;109.70;4.53 %;0.00
Moritz;;;310.80;12.83 %;1.50
Robin;;;98.50;4.07 %;0.00
Total;;;2422.40;100.00 %;3.40
;;;;
Stornos;;;;;
Training/Testbuchung;;1;2.00;3.40 %;
vertippt;;17;56.80;96.60 %;
Total;;18;58.80;100.00 %;
;;;;
Rabatte;;;;;
Personal 1/2 Preis;;1;5.20;100.00 %;
Total;;1;5.20;100.00 %;
;;;;
Tische;;;;;
Theke;;248;1597.10;64.89 %;
Tisch 1;;15;117.70;4.78 %;
Tisch 10;;3;14.10;0.57 %;
Tisch 11;;9;59.80;2.43 %;
Tisch 12;;6;47.40;1.93 %;
Tisch 13;;6;57.40;2.33 %;
Tisch 14;;6;43.20;1.76 %;
Tisch 15;;6;34.90;1.42 %;
Tisch 2;;15;132.50;5.38 %;
Tisch 20;;6;58.40;2.37 %;
Tisch 3;;7;66.60;2.71 %;
Tisch 30;;4;31.80;1.29 %;
Tisch 4;;12;105.00;4.27 %;
Tisch 5;;10;95.50;3.88 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;522;1560.70;63.41 %;;18;51.70;;504;1509.00
Speisen;;125;461.40;18.75 %;;7;25.40;;118;436.00
