;von;bis;;
Datum:;22.07.2020;22.07.2020;;
Enthalt Z;71;71;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1126.70;98.11 %;
Auslagen;;;20.00;1.74 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.70;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;20.00;1.74 %;
5.0%;;;754.40;65.79 %;
16.0%;;;372.30;32.47 %;
Total;;;1146.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;20.00;1.89 %;
5.0%;;;718.50;67.81 %;
16.0%;;;321.05;30.30 %;
Total;;;1059.55;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;35.90;41.19 %;
16.0%;;;51.25;58.81 %;
Total;;;87.15;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;163;1001.80;87.36 %;0.00
Maestro;;10;83.90;7.32 %;1.70
MasterCard;;3;31.00;2.70 %;0.00
Mehrzweckgutschein;;2;14.50;1.26 %;0.00
Visa Electron;;1;15.50;1.35 %;0.00
Total;;179;1146.70;100.00 %;1.70
;;;;
Umsatzdetails;;;;;
Anna;;;75.30;6.68 %;0.00
Emanuel;;;242.40;21.51 %;0.00
Lena;;;478.00;42.42 %;1.70
Mik;;;136.30;12.10 %;0.00
Robin;;;50.60;4.49 %;0.00
Slobo;;;144.10;12.79 %;0.00
Total;;;1126.70;100.00 %;1.70
;;;;
Stornos;;;;;
vertippt;;3;9.50;57.58 %;
Änderung durch Gast;;2;7.00;42.42 %;
Total;;5;16.50;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;143;916.50;79.93 %;
Tisch 1;;6;44.20;3.85 %;
Tisch 10;;3;19.80;1.73 %;
Tisch 11;;2;17.80;1.55 %;
Tisch 12;;1;6.30;0.55 %;
Tisch 13;;1;5.00;0.44 %;
Tisch 15;;1;16.20;1.41 %;
Tisch 2;;3;20.90;1.82 %;
Tisch 20;;2;11.00;0.96 %;
Tisch 3;;4;19.30;1.68 %;
Tisch 30;;1;3.00;0.26 %;
Tisch 5;;6;66.70;5.82 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;280;799.40;69.71 %;;49;145.50;;231;653.90
Speisen;;53;191.80;16.73 %;;14;50.50;;39;141.30
Sonstiges;;13;155.50;13.56 %;;2;29.50;;11;126.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Kaffee;;188;517.50;45.13 %;;39;112.90;;149;404.60
Sommer;;69;219.60;19.15 %;;7;25.60;;62;194.00
Speisen;;53;191.80;16.73 %;;14;50.50;;39;141.30
Röstkaffee;;13;155.50;13.56 %;;2;29.50;;11;126.00
Non Kaffee;;21;55.90;4.87 %;;3;7.00;;18;48.90
Hafer;;2;6.40;0.56 %;;0;0.00;;2;6.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;60;192.00;16.74 %;;20;64.00;;40;128.00
Flat White auf Eis;0;31;130.20;11.35 %;;4;16.80;;27;113.40
Kuchen Maple Carrot;0;15;72.00;6.28 %;;3;14.40;;12;57.60
Caffé Latte;0;17;59.50;5.19 %;;2;7.00;;15;52.50
Cold Brew;0;15;45.00;3.92 %;;2;6.00;;13;39.00
Flat White;0;10;38.00;3.31 %;;2;7.60;;8;30.40
Prima Estate 500g;0;2;36.00;3.14 %;;1;18.00;;1;18.00
Lua Clara 250g;0;3;34.50;3.01 %;;1;11.50;;2;23.00
El Moreno 250g;0;3;34.50;3.01 %;;0;0.00;;3;34.50
Cappuccino groß;0;9;34.20;2.98 %;;1;3.80;;8;30.40
Americano auf Eis;0;11;30.80;2.69 %;;1;2.80;;10;28.00
Banana Bread PINE NUT;0;8;30.40;2.65 %;;2;7.60;;6;22.80
Espresso single;0;15;30.00;2.62 %;;3;6.00;;12;24.00
Granola COCOS;0;6;25.20;2.20 %;;2;8.40;;4;16.80
Café Crème;0;10;25.00;2.18 %;;2;5.00;;8;20.00
Americano;0;10;25.00;2.18 %;;2;5.00;;8;20.00
Espresso Macchiato;0;9;22.50;1.96 %;;0;0.00;;9;22.50
Filterkaffee;0;9;22.50;1.96 %;;3;7.50;;6;15.00
Pain au chocolat;0;8;22.40;1.95 %;;2;5.60;;6;16.80
Kaltgetränk;0;8;22.40;1.95 %;;0;0.00;;8;22.40
Croissant;0;11;22.00;1.92 %;;2;4.00;;9;18.00
Finca Isnul 250g;0;2;21.00;1.83 %;;0;0.00;;2;21.00
ReCup ausgeben;0;20;20.00;1.74 %;;2;2.00;;18;18.00
Prima Estate 250g;0;2;19.00;1.66 %;;0;0.00;;2;19.00
Hand Brew;0;4;18.00;1.57 %;;0;0.00;;4;18.00
Tea;0;5;17.50;1.53 %;;1;3.50;;4;14.00
Doppio;0;6;15.00;1.31 %;;2;5.00;;4;10.00
Croissant CREMA LIMA;0;4;14.00;1.22 %;;3;10.50;;1;3.50
Kakao;0;4;14.00;1.22 %;;1;3.50;;3;10.50
Espresso Tonic;0;3;12.60;1.10 %;;0;0.00;;3;12.60
El Carmen Decaf 250g;0;1;10.50;0.92 %;;0;0.00;;1;10.50
Café Crème groß;0;3;9.00;0.78 %;;0;0.00;;3;9.00
Cappuccino Hafer;0;2;6.40;0.56 %;;0;0.00;;2;6.40
Panini DUKKAH BETA;0;1;5.80;0.51 %;;0;0.00;;1;5.80
ReCup ausgeben *;0;5;5.00;0.44 %;;0;0.00;;5;5.00
Caffé Latte doppelt;0;1;3.80;0.33 %;;0;0.00;;1;3.80
Doppio Macchiato;0;1;3.00;0.26 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.26 %;;0;0.00;;1;3.00
ReCup ausgeben **;0;2;2.00;0.17 %;;0;0.00;;2;2.00
