EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 115709 910738 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115709,19530802,   17,    0
115709,19530803,   33,    0
115709,19530804,   23,    0
115709,19530805,   47,    0
115709,19530806,   47,    0
115709,19530807,   31,    0
115709,19530808,   24,    0
115709,19530809,   24,    0
115709,19530810,   15,    0
115709,19530811,   13,    0
115709,19530812,   25,    0
115709,19530813,   13,    0
115709,19530814,   16,    0
115709,19530815,   19,    0
115709,19530816,   29,    0
115709,19530817,   18,    0
115709,19530818,   26,    0
115709,19530819,   25,    0
115709,19530820,   22,    0
115709,19530821,   51,    0
115709,19530822,   54,    0
115709,19530823,   38,    0
115709,19530824,   27,    0
115709,19530825,   40,    0
115709,19530826,   19,    0
115709,19530827,   27,    0
115709,19530828,   12,    0
115709,19530829,   24,    0
115709,19530830,   46,    0
115709,19530831,   33,    0
115709,19530901,   11,    0
115709,19530902,   26,    0
115709,19530903,   40,    0
115709,19530904,   19,    0
115709,19530905,   24,    0
115709,19530906,   29,    0
115709,19530907,   44,    0
115709,19530908,   11,    0
115709,19530909,   44,    0
115709,19530910,   52,    0
115709,19530911,   39,    0
115709,19530912,   70,    0
115709,19530913,   36,    0
115709,19530914,   42,    0
115709,19530915,   31,    0
115709,19530916,   18,    0
115709,19530917,   25,    0
115709,19530918,   19,    0
115709,19530919,   31,    0
115709,19530920,   50,    0
115709,19530921,   47,    0
115709,19530922,   60,    0
115709,19530923,   42,    0
115709,19530924,   28,    0
115709,19530925,   13,    0
115709,19530926,   14,    0
115709,19530927,   18,    0
115709,19530928,   36,    0
115709,19530929,   24,    0
115709,19530930,   12,    0
115709,19531001,    8,    0
115709,19531002,   13,    0
115709,19531003,   13,    0
115709,19531004,   24,    0
115709,19531005,   36,    0
115709,19531006,   24,    0
115709,19531007,   10,    0
115709,19531008,   18,    0
115709,19531009,   21,    0
115709,19531010,   15,    0
115709,19531011,   17,    0
115709,19531012,   14,    0
115709,19531013,   17,    0
115709,19531014,   16,    0
115709,19531015,   15,    0
115709,19531016,   11,    0
115709,19531017,   18,    0
115709,19531018,   28,    0
115709,19531019,   19,    0
115709,19531020,   16,    0
115709,19531021,   19,    0
115709,19531022,   13,    0
115709,19531023,   11,    0
115709,19531024,   12,    0
115709,19531025,    8,    0
115709,19531026,   10,    0
115709,19531027,   11,    0
115709,19531028,   17,    0
115709,19531029,   32,    0
115709,19531030,   42,    0
115709,19531031,   20,    0
115709,19531101,   18,    0
115709,19531102,   35,    0
115709,19531103,   18,    0
115709,19531104,   19,    0
115709,19531105,   14,    0
115709,19531106,   39,    0
115709,19531107,   17,    0
115709,19531108,   16,    0
115709,19531109,   14,    0
115709,19531110,   12,    0
115709,19531111,   11,    0
115709,19531112,   27,    0
115709,19531113,   24,    0
115709,19531114,   15,    0
115709,19531115,    9,    0
115709,19531116,   17,    0
115709,19531117,   25,    0
115709,19531118,   12,    0
115709,19531119,   10,    0
115709,19531120,   10,    0
115709,19531121,   12,    0
115709,19531122,   16,    0
