;von;bis;;
Datum:;25.09.2020;25.09.2020;;
Enthalt Z;124;124;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1191.10;98.87 %;
Auslagen;;;10.00;0.83 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.60;0.30 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;10.00;0.83 %;
5.0%;;;1019.90;84.91 %;
16.0%;;;171.20;14.25 %;
Total;;;1201.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;10.00;0.89 %;
5.0%;;;971.38;86.03 %;
16.0%;;;147.69;13.08 %;
Total;;;1129.07;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;48.52;67.36 %;
16.0%;;;23.51;32.64 %;
Total;;;72.03;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;117;783.00;65.19 %;0.00
Maestro;;18;225.60;18.78 %;1.40
MasterCard;;3;12.00;1.00 %;0.00
Visa;;6;37.60;3.13 %;0.00
Visa Electron;;9;142.90;11.90 %;2.20
Total;;153;1201.10;100.00 %;3.60
;;;;
Umsatzdetails;;;;;
Karo;;;165.30;13.88 %;2.20
Mik;;;107.40;9.02 %;1.40
Moritz;;;163.50;13.73 %;0.00
Robin;;;285.00;23.93 %;0.00
Sebastian;;;425.50;35.72 %;0.00
Slobo;;;44.40;3.73 %;0.00
Total;;;1191.10;100.00 %;3.60
;;;;
Stornos;;;;;
Reklamation;;1;-1.00;-3.88 %;
vertippt;;3;12.40;48.06 %;
Änderung durch Gast;;6;14.40;55.81 %;
Total;;10;25.80;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;104;814.80;67.84 %;
Tisch 1;;8;59.80;4.98 %;
Tisch 10;;1;8.20;0.68 %;
Tisch 11;;1;4.80;0.40 %;
Tisch 12;;1;3.20;0.27 %;
Tisch 13;;3;21.10;1.76 %;
Tisch 14;;1;6.40;0.53 %;
Tisch 15;;1;17.80;1.48 %;
Tisch 2;;7;60.30;5.02 %;
Tisch 20;;3;31.50;2.62 %;
Tisch 3;;7;43.20;3.60 %;
Tisch 31;;1;2.50;0.21 %;
Tisch 4;;7;35.90;2.99 %;
Tisch 5;;7;77.20;6.43 %;
Tisch 7;;1;14.40;1.20 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
