;von;bis;;
Datum:;13.07.2020;13.07.2020;;
Enthalt Z;64;64;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1175.45;97.42 %;
Auslagen;;;26.00;2.15 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;5.10;0.42 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;26.00;2.16 %;
5.0%;;;889.55;74.04 %;
16.0%;;;285.90;23.80 %;
Total;;;1201.45;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;26.00;2.32 %;
5.0%;;;847.24;75.66 %;
16.0%;;;246.53;22.02 %;
Total;;;1119.77;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;42.31;51.80 %;
16.0%;;;39.37;48.20 %;
Total;;;81.68;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;114;698.80;58.16 %;0.00
Maestro;;19;241.15;20.07 %;0.30
MasterCard;;6;71.50;5.95 %;0.00
Visa;;9;94.40;7.86 %;2.20
Visa Electron;;5;95.60;7.96 %;2.60
Total;;153;1201.45;100.00 %;5.10
;;;;
Umsatzdetails;;;;;
Anna;;;384.80;32.74 %;0.60
Daniel;;;283.75;24.14 %;1.70
Emanuel;;;173.40;14.75 %;0.80
Martin;;;0.00;0.00 %;0.00
Slobo;;;333.50;28.37 %;2.00
Total;;;1175.45;100.00 %;5.10
;;;;
Stornos;;;;;
Kommunikationsfehler;;2;7.00;13.73 %;
Training/Testbuchung;;9;27.90;54.71 %;
vertippt;;6;16.10;31.57 %;
Total;;17;51.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;18.75;100.00 %;
Total;;1;18.75;100.00 %;
;;;;
Tische;;;;;
Theke;;92;739.75;61.57 %;
Tisch 1;;4;35.80;2.98 %;
Tisch 10;;7;55.40;4.61 %;
Tisch 11;;2;6.80;0.57 %;
Tisch 12;;3;34.00;2.83 %;
Tisch 13;;5;54.00;4.49 %;
Tisch 14;;1;5.60;0.47 %;
Tisch 15;;5;43.70;3.64 %;
Tisch 2;;8;50.00;4.16 %;
Tisch 20;;1;14.20;1.18 %;
Tisch 3;;5;59.50;4.95 %;
Tisch 30;;1;3.80;0.32 %;
Tisch 4;;7;43.60;3.63 %;
Tisch 5;;5;39.10;3.25 %;
Tisch 8;;1;16.20;1.35 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;230;691.40;57.55 %;;36;107.80;;194;583.60
Sonstiges;;28;340.25;28.32 %;;0;0.00;;28;340.25
Speisen;;45;169.80;14.13 %;;13;42.60;;32;127.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Kaffee;;162;475.60;39.59 %;;32;95.00;;130;380.60
Röstkaffee;;27;330.25;27.49 %;;0;0.00;;27;330.25
Sommer;;54;172.00;14.32 %;;1;3.00;;53;169.00
Speisen;;45;169.80;14.13 %;;13;42.60;;32;127.20
Non Kaffee;;13;40.60;3.38 %;;3;9.80;;10;30.80
Gutscheine;;1;10.00;0.83 %;;0;0.00;;1;10.00
Hafer;;1;3.20;0.27 %;;0;0.00;;1;3.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;54;172.80;14.38 %;;8;25.60;;46;147.20
Flat White auf Eis;0;20;84.00;6.99 %;;0;0.00;;20;84.00
Flat White;0;18;68.40;5.69 %;;1;3.80;;17;64.60
Prima Estate 250g;0;6;57.00;4.74 %;;0;0.00;;6;57.00
Cappuccino groß;0;15;57.00;4.74 %;;7;26.60;;8;30.40
El Moreno 250g;0;5;51.75;4.31 %;;0;0.00;;5;51.75
Cold Brew;0;13;39.00;3.25 %;;1;3.00;;12;36.00
Kuchen Maple Carrot;0;8;38.40;3.20 %;;0;0.00;;8;38.40
Prima Estate 500g;0;2;36.00;3.00 %;;0;0.00;;2;36.00
Croissant CREMA LIMA;0;10;35.00;2.91 %;;6;21.00;;4;14.00
Panini DUKKAH BETA;0;6;34.80;2.90 %;;2;11.60;;4;23.20
Prima Estate 1000g;0;1;34.00;2.83 %;;0;0.00;;1;34.00
Americano auf Eis;0;12;33.60;2.80 %;;0;0.00;;12;33.60
El Carmen Decaf 250g;0;3;31.50;2.62 %;;0;0.00;;3;31.50
Espresso single;0;15;30.00;2.50 %;;5;10.00;;10;20.00
Caffé Latte;0;8;28.00;2.33 %;;3;10.50;;5;17.50
Lua Clara 250g;0;2;23.00;1.91 %;;0;0.00;;2;23.00
Banana Bread PINE NUT;0;6;22.80;1.90 %;;0;0.00;;6;22.80
Croissant;0;11;22.00;1.83 %;;5;10.00;;6;12.00
Don Pasquale 250g;0;2;21.00;1.75 %;;0;0.00;;2;21.00
Finca Isnul 500g;0;1;20.00;1.66 %;;0;0.00;;1;20.00
Kaltgetränk;0;7;19.60;1.63 %;;1;2.80;;6;16.80
Papakuchi 250g;0;2;19.00;1.58 %;;0;0.00;;2;19.00
Café Crème;0;7;17.50;1.46 %;;2;5.00;;5;12.50
Americano;0;7;17.50;1.46 %;;3;7.50;;4;10.00
Granola COCOS;0;4;16.80;1.40 %;;0;0.00;;4;16.80
Filterkaffee;0;6;15.00;1.25 %;;1;2.50;;5;12.50
Bumbogo 250g;0;1;13.50;1.12 %;;0;0.00;;1;13.50
Hand Brew;0;3;13.50;1.12 %;;0;0.00;;3;13.50
Bumbogo 500g;0;1;13.00;1.08 %;;0;0.00;;1;13.00
Espresso Macchiato;0;5;12.50;1.04 %;;1;2.50;;4;10.00
Caffé Latte doppelt;0;3;11.40;0.95 %;;0;0.00;;3;11.40
ReCup ausgeben;0;11;11.00;0.92 %;;1;1.00;;10;10.00
Finca Isnul 250g;0;1;10.50;0.87 %;;0;0.00;;1;10.50
Tea;0;3;10.50;0.87 %;;1;3.50;;2;7.00
Kakao;0;3;10.50;0.87 %;;1;3.50;;2;7.00
10€ Gutschein;0;1;10.00;0.83 %;;0;0.00;;1;10.00
Doppio Macchiato;0;3;9.00;0.75 %;;0;0.00;;3;9.00
Espresso Tonic;0;2;8.40;0.70 %;;0;0.00;;2;8.40
ReCup ausgeben *;0;7;7.00;0.58 %;;0;0.00;;7;7.00
Café Crème groß;0;2;6.00;0.50 %;;0;0.00;;2;6.00
Doppio;0;2;5.00;0.42 %;;0;0.00;;2;5.00
Cappuccino Hafer;0;1;3.20;0.27 %;;0;0.00;;1;3.20
Americano groß;0;1;3.00;0.25 %;;0;0.00;;1;3.00
ReCup zurücknehmen;0;2;-2.00;-0.17 %;;0;0.00;;2;-2.00
;;;;
