;von;bis;;
Datum:;20.10.2020;20.10.2020;;
Enthalt Z;143;143;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2025.30;99.56 %;
Auslagen;;;9.00;0.44 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;9.00;0.44 %;
5.0%;;;1636.00;80.42 %;
16.0%;;;389.30;19.14 %;
Total;;;2034.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;9.00;0.47 %;
5.0%;;;1558.22;81.88 %;
16.0%;;;335.84;17.65 %;
Total;;;1903.06;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;77.78;59.27 %;
16.0%;;;53.46;40.73 %;
Total;;;131.24;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;245;1394.90;68.57 %;0.00
Maestro;;42;487.20;23.95 %;0.00
MasterCard;;4;17.30;0.85 %;0.00
Visa;;9;63.80;3.14 %;0.00
Visa Electron;;6;71.10;3.50 %;0.00
Total;;306;2034.30;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;1061.60;52.42 %;0.00
Clara;;;207.60;10.25 %;0.00
Emanuel;;;513.40;25.35 %;0.00
Khalid;;;0.00;0.00 %;0.00
Mik;;;79.90;3.95 %;0.00
Robin;;;11.10;0.55 %;0.00
Sebastian;;;149.20;7.37 %;0.00
Slobo;;;2.50;0.12 %;0.00
Total;;;2025.30;100.00 %;0.00
;;;;
Stornos;;;;;
Kommunikationsfehler;;1;3.80;25.85 %;
vertippt;;2;7.70;52.38 %;
Änderung durch Gast;;1;3.20;21.77 %;
Total;;4;14.70;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;17.00;100.00 %;
Total;;1;17.00;100.00 %;
;;;;
Tische;;;;;
Theke;;225;1370.40;67.36 %;
Tisch 1;;12;85.60;4.21 %;
Tisch 10;;1;5.70;0.28 %;
Tisch 11;;1;6.40;0.31 %;
Tisch 12;;3;28.20;1.39 %;
Tisch 14;;3;10.10;0.50 %;
Tisch 15;;5;31.60;1.55 %;
Tisch 2;;14;122.80;6.04 %;
Tisch 20;;2;12.90;0.63 %;
Tisch 3;;14;140.00;6.88 %;
Tisch 31;;1;12.50;0.61 %;
Tisch 4;;7;35.10;1.73 %;
Tisch 5;;13;128.80;6.33 %;
Tisch 6;;2;22.70;1.12 %;
Tisch 7;;3;21.50;1.06 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;489;1346.60;66.19 %;;34;111.60;;455;1235.00
Sonstiges;;29;414.50;20.38 %;;5;80.50;;24;334.00
Speisen;;74;273.20;13.43 %;;5;17.10;;69;256.10
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;282;970.70;47.72 %;;24;84.60;;258;886.10
Röstkaffee;;28;403.50;19.83 %;;5;80.50;;23;323.00
Kaffee;;177;286.00;14.06 %;;10;27.00;;167;259.00
Speisen;;74;273.20;13.43 %;;5;17.10;;69;256.10
Non Kaffee;;27;78.70;3.87 %;;0;0.00;;27;78.70
Sommer;;3;11.20;0.55 %;;0;0.00;;3;11.20
Equipment;;1;11.00;0.54 %;;0;0.00;;1;11.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;141;451.20;22.18 %;;10;32.00;;131;419.20
Flat White;0;43;163.40;8.03 %;;9;34.20;;34;129.20
Caffé Latte;0;40;140.00;6.88 %;;1;3.50;;39;136.50
Cappuccino groß;0;35;133.00;6.54 %;;3;11.40;;32;121.60
Kuchen Maple Carrot;0;21;100.80;4.96 %;;0;0.00;;21;100.80
BUMBOGO 250g;0;7;94.50;4.65 %;;1;13.50;;6;81.00
Kakao;0;17;59.50;2.92 %;;1;3.50;;16;56.00
Café Crème;0;21;52.50;2.58 %;;1;2.50;;20;50.00
Tea;0;15;52.50;2.58 %;;0;0.00;;15;52.50
MUYU 1000g;0;2;51.00;2.51 %;;0;0.00;;2;51.00
Americano;0;19;47.50;2.33 %;;2;5.00;;17;42.50
LUA CLARA 250g;0;4;46.00;2.26 %;;2;23.00;;2;23.00
EL MORENO 250g;0;4;46.00;2.26 %;;0;0.00;;4;46.00
Banana Bread PINE NUT;0;12;45.60;2.24 %;;0;0.00;;12;45.60
EL MORENO 500g;0;2;44.00;2.16 %;;2;44.00;;0;0.00
Filterkaffee;0;17;42.50;2.09 %;;1;2.50;;16;40.00
ReCup ausgeben;0;39;39.00;1.92 %;;0;0.00;;39;39.00
Croissant;0;19;38.00;1.87 %;;2;4.00;;17;34.00
Espresso single;0;18;36.00;1.77 %;;4;8.00;;14;28.00
Hand Brew;0;7;31.50;1.55 %;;2;9.00;;5;22.50
Pain au chocolat;0;11;30.80;1.51 %;;2;5.60;;9;25.20
Feigenbrot;0;4;30.00;1.47 %;;1;7.50;;3;22.50
Kaltgetränk;0;9;25.20;1.24 %;;0;0.00;;9;25.20
Espresso Macchiato;0;10;25.00;1.23 %;;0;0.00;;10;25.00
LUA CLARA 500g;0;1;22.00;1.08 %;;0;0.00;;1;22.00
DON PASCUAL 250g;0;2;21.00;1.03 %;;0;0.00;;2;21.00
FINCA ISNUL 250g;0;2;21.00;1.03 %;;0;0.00;;2;21.00
Café Crème groß;0;7;21.00;1.03 %;;0;0.00;;7;21.00
Granola COCOS;0;5;21.00;1.03 %;;0;0.00;;5;21.00
FINCA ISNUL 500g;0;1;20.00;0.98 %;;0;0.00;;1;20.00
MUYU 500g;0;1;18.00;0.88 %;;0;0.00;;1;18.00
Caffé Latte doppelt;0;4;15.20;0.75 %;;0;0.00;;4;15.20
Chemex filter;0;1;11.00;0.54 %;;0;0.00;;1;11.00
EL CARMEN Decaf 250g;0;1;10.50;0.52 %;;0;0.00;;1;10.50
Doppio;0;4;10.00;0.49 %;;0;0.00;;4;10.00
MUYU 250g;0;1;9.50;0.47 %;;0;0.00;;1;9.50
Americano groß;0;3;9.00;0.44 %;;0;0.00;;3;9.00
Espresso Tonic;0;2;8.40;0.41 %;;0;0.00;;2;8.40
Flat White auf Eis;0;2;8.40;0.41 %;;0;0.00;;2;8.40
Croissant CREMA LIMA;0;2;7.00;0.34 %;;0;0.00;;2;7.00
Doppio Macchiato;0;1;3.00;0.15 %;;0;0.00;;1;3.00
Americano auf Eis;0;1;2.80;0.14 %;;0;0.00;;1;2.80
ReCup ausgeben **;0;1;1.00;0.05 %;;0;0.00;;1;1.00
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup zurücknehmen;0;31;-31.00;-1.52 %;;0;0.00;;31;-31.00
;;;;
