date,day_of_week,month,year,week_of_year
2020-01-01,Wednesday,January,2020,1
2020-01-02,Thursday,January,2020,1
2020-01-03,Friday,January,2020,1
2020-01-04,Saturday,January,2020,1
2020-01-05,Sunday,January,2020,1
2020-01-06,Monday,January,2020,2
2020-01-07,Tuesday,January,2020,2
2020-01-08,Wednesday,January,2020,2
2020-01-09,Thursday,January,2020,2
2020-01-10,Friday,January,2020,2
2020-01-11,Saturday,January,2020,2
2020-01-12,Sunday,January,2020,2
2020-01-13,Monday,January,2020,3
2020-01-14,Tuesday,January,2020,3
2020-01-15,Wednesday,January,2020,3
2020-01-16,Thursday,January,2020,3
2020-01-17,Friday,January,2020,3
2020-01-18,Saturday,January,2020,3
2020-01-19,Sunday,January,2020,3
2020-01-20,Monday,January,2020,4
2020-01-21,Tuesday,January,2020,4
2020-01-22,Wednesday,January,2020,4
2020-01-23,Thursday,January,2020,4
2020-01-24,Friday,January,2020,4
2020-01-25,Saturday,January,2020,4
2020-01-26,Sunday,January,2020,4
2020-01-27,Monday,January,2020,5
2020-01-28,Tuesday,January,2020,5
2020-01-29,Wednesday,January,2020,5
2020-01-30,Thursday,January,2020,5
2020-01-31,Friday,January,2020,5
2020-02-01,Saturday,February,2020,5
2020-02-02,Sunday,February,2020,5
2020-02-03,Monday,February,2020,6
2020-02-04,Tuesday,February,2020,6
2020-02-05,Wednesday,February,2020,6
2020-02-06,Thursday,February,2020,6
2020-02-07,Friday,February,2020,6
2020-02-08,Saturday,February,2020,6
2020-02-09,Sunday,February,2020,6
2020-02-10,Monday,February,2020,7
2020-02-11,Tuesday,February,2020,7
2020-02-12,Wednesday,February,2020,7
2020-02-13,Thursday,February,2020,7
2020-02-14,Friday,February,2020,7
2020-02-15,Saturday,February,2020,7
2020-02-16,Sunday,February,2020,7
2020-02-17,Monday,February,2020,8
2020-02-18,Tuesday,February,2020,8
2020-02-19,Wednesday,February,2020,8
2020-02-20,Thursday,February,2020,8
2020-02-21,Friday,February,2020,8
2020-02-22,Saturday,February,2020,8
2020-02-23,Sunday,February,2020,8
2020-02-24,Monday,February,2020,9
2020-02-25,Tuesday,February,2020,9
2020-02-26,Wednesday,February,2020,9
2020-02-27,Thursday,February,2020,9
2020-02-28,Friday,February,2020,9
2020-02-29,Saturday,February,2020,9
2020-03-01,Sunday,March,2020,9
2020-03-02,Monday,March,2020,10
2020-03-03,Tuesday,March,2020,10
2020-03-04,Wednesday,March,2020,10
2020-03-05,Thursday,March,2020,10
2020-03-06,Friday,March,2020,10
2020-03-07,Saturday,March,2020,10
2020-03-08,Sunday,March,2020,10
2020-03-09,Monday,March,2020,11
2020-03-10,Tuesday,March,2020,11
2020-03-11,Wednesday,March,2020,11
2020-03-12,Thursday,March,2020,11
2020-03-13,Friday,March,2020,11
2020-03-14,Saturday,March,2020,11
2020-03-15,Sunday,March,2020,11
2020-03-16,Monday,March,2020,12
2020-03-17,Tuesday,March,2020,12
2020-03-18,Wednesday,March,2020,12
2020-03-19,Thursday,March,2020,12
2020-03-20,Friday,March,2020,12
2020-03-21,Saturday,March,2020,12
2020-03-22,Sunday,March,2020,12
2020-03-23,Monday,March,2020,13
2020-03-24,Tuesday,March,2020,13
2020-03-25,Wednesday,March,2020,13
2020-03-26,Thursday,March,2020,13
2020-03-27,Friday,March,2020,13
2020-03-28,Saturday,March,2020,13
2020-03-29,Sunday,March,2020,13
2020-03-30,Monday,March,2020,14
2020-03-31,Tuesday,March,2020,14
2020-04-01,Wednesday,April,2020,14
2020-04-02,Thursday,April,2020,14
2020-04-03,Friday,April,2020,14
2020-04-04,Saturday,April,2020,14
2020-04-05,Sunday,April,2020,14
2020-04-06,Monday,April,2020,15
2020-04-07,Tuesday,April,2020,15
2020-04-08,Wednesday,April,2020,15
2020-04-09,Thursday,April,2020,15
2020-04-10,Friday,April,2020,15
2020-04-11,Saturday,April,2020,15
